molecule,SMILES,precursor_scscore,scscore,anode_limit,element_friendliness,capacity(mAh/g)
0,[Li]n1c(=O)c(=O)n([Li])c2cc(Cl)ccc21,2.827893570285687,2.678394897232976,4.531021299681706,0.05555555555555555,257.1782034410177
1,[Li]n1c(=S)c(=S)n([Li])c2ccccc21,3.1768141021740055,3.030983703353712,3.774210074103383,0.1111111111111111,260.05874902309534
2,[Li]n1c(=S)n([Li])c2cc(OCC)ccc21,2.595608281326295,2.357382243943966,4.294637862361755,0.08695652173913043,260.09029041169725
3,[Li]n1c(=S)n([Li])c2cc(C(=O)O)ccc21,2.8310697188733798,2.4357990477625524,4.503910498522529,0.10526315789473684,260.14582184243625
4,[Li]N1B(c2ccccc2)N([Li])c2ccccc21,3.293149058634742,2.5225660261841973,3.712518919520227,0.07692307692307693,260.35933365277936
6,[Li]n1c(=O)c(=O)n([Li])c2cc(OC)ccc21,2.9202487224634575,2.8719662128709382,4.4233617857693694,0.09090909090909091,262.74804504563366
8,[Li]n1c(=O)c(=O)n([Li])c2cc(C)c(C)cc21,2.9614253171111082,2.7507701866938654,4.385875245892375,0.08333333333333333,265.31222712706165
10,[Li]n1c(=S)n([Li])c2cc(Cl)ccc21,2.8846937143812776,2.558145615849425,4.418443310097299,0.0625,272.8064804119293
11,[Li]n1c(=O)n([Li])c2cc3ccccc3cc21,2.844378006416986,2.838327143116313,4.475796954188887,0.09090909090909091,273.43679161452945
14,[Li]n1c(=S)n([Li])c2cc(OC)ccc21,2.8645816284547045,2.8479972793220387,4.291109893505965,0.1,279.0820888875006
15,[Li]n1c(=O)c(=O)n([Li])c2cc(F)ccc21,2.85009969195017,2.680931259610743,4.534474436958419,0.16666666666666666,279.21871998037074
16,[Li]n1c(=S)n([Li])c2cc(C)c(C)cc21,3.082991772794115,2.474616406956259,4.266367851995197,0.09090909090909091,281.976747583766
17,[Li]n1c(=O)n([Li])c2cc(C(=O)O)ccc21,2.6305015811509285,2.5355119258287795,4.372733459865239,0.10526315789473684,282.1444380706115
22,[Li]n1c(=O)c(=O)n([Li])c2cc(C)ccc21,2.8034326355628654,2.726902709450357,4.440121338549972,0.09523809523809523,285.1033078483474
24,[Li]n1c(=O)n([Li])c2cc(Cl)ccc21,2.7760969721285536,2.6645714187704312,4.267585565892436,0.0625,297.09841069283345
25,[Li]n1c(=S)n([Li])c2cc(C)ccc21,2.8611971664235476,2.497786702859572,4.316383919520288,0.10526315789473684,304.4373398549174
26,[Li]n1c(=S)n([Li])c2c(C)cccc21,2.806088093084736,2.439526551024345,4.337855140694028,0.10526315789473684,304.4373398549174
27,[Li]n1c(=O)n([Li])c2cc(OC)ccc21,2.7415018839711287,2.9540743804501277,4.120194564698343,0.1,304.55667278936033
30,[Li]n1c(=O)c(=O)n([Li])c2ccccc21,3.055205898182952,3.1308602991411747,4.5084112779186825,0.1111111111111111,308.08504551996447
31,[Li]n1c(=S)n([Li])c2ccccc21,3.318259905191943,3.1687309704135354,4.370664026533135,0.125,330.7857687392708
33,[Li]n1c(=O)n([Li])c2cc(C)ccc21,2.724096205752748,2.8029979630489095,4.130058727522197,0.10526315789473684,335.0045373153395
36,[Li]n1c(=O)c(=O)n([Li])c2cc(F)c(F)cc21,3.037250938488228,2.747322283920656,4.50738404440961,0.2222222222222222,255.2982995281347
40,[Li]n1c(=O)n([Li])c2cc(C(C)=O)ccc21,2.7331633890031055,2.6976868981140507,4.358357633051645,0.09523809523809523,285.10330784834747
41,[Li]n1c(=O)n([Li])c2cc(C)c(C)cc21,2.827784165626159,2.5783399493376473,4.0781950002571214,0.09090909090909091,308.00716491693055
47,[Li]n1c(=O)n([Li])c2cc(C(=O)OC)ccc21,2.8471989491401124,2.7759377878837097,4.36116721873686,0.09090909090909091,262.7480450456337
49,[Li]n1c(=S)n([Li])c2cc(F)c(F)cc21,2.931477928389646,2.643705582611174,4.37069531973941,0.25,270.6920965762078
57,[Li]n1c(=O)c(=O)n([Li])c2cc(O)c(O)cc21,2.5917741530426595,2.5880816745712902,4.278176275328383,0.1,260.23295298871477
60,[Li]n1c(=O)c(=S)n([Li])c2ccccc21,2.9182975275405285,2.8347485930440737,4.5808591319882535,0.1111111111111111,282.0420192922586
62,[Li]n1c(=O)n([Li])c2c(O)cccc21,2.6806386252223815,2.353353509346605,4.195509148570814,0.11764705882352941,330.9266563650741
68,[Li]N1C(=O)C(C(=O)O)N([Li])c2ccccc21,2.5865766597332254,2.7117639598889403,3.759672338965108,0.09090909090909091,262.74804504563366
69,[Li]N1CC(=O)N([Li])c2cc(C(=O)O)ccc21,2.5064196606166784,2.0010561346026057,3.582596330258213,0.09090909090909091,262.7480450456337
70,[Li]N1CC(=O)N([Li])c2ccc(C(=O)O)cc21,2.593656105613383,1.9779112752633257,3.4729218059778426,0.09090909090909091,262.7480450456337
71,[Li]n1c(=O)n([Li])c2cc(CC(=O)O)ccc21,2.4206775402707397,2.6308470508687583,4.200577287401035,0.09090909090909091,262.7480450456337
75,[Li]n1c(CCC(=O)[O-])[n+]([Li])c2ccccc21,2.628925396175454,2.477142853319972,4.175510068662552,0.08333333333333333,265.31222712706165
77,[Li]n1c(=O)n([Li])c2cc(Cl)c(F)cc21,2.761914388399357,2.1910150189725166,4.274671436236575,0.125,270.1641870353666
88,[Li]n1c(=O)n([Li])c2c(Cl)cccc21,2.808431714733832,2.509637553376078,4.318615261180167,0.0625,297.09841069283345
91,[Li]n1c(=O)n([Li])c2cc(O)c(O)cc21,2.588888863529311,2.569661614293132,3.930778148156254,0.1111111111111111,301.18263340361966
97,[Li]n1c(=O)n([Li])c2c(C)c(C)ccc21,2.543073792893098,2.1711997045460807,4.1013138767689945,0.09090909090909091,308.00716491693055
98,[Li]n1c(=O)n([Li])c2cc(C=O)ccc21,2.577800798688382,2.5922327586655727,4.364425793904264,0.1111111111111111,308.0850455199645
99,[Li]n1c(=O)n([Li])c2c(C=O)cccc21,2.5304423134969602,2.4211228341119724,4.523546305125132,0.1111111111111111,308.0850455199645
101,[Li]n1c(=O)n([Li])c2cc(F)ccc21,2.712067112964518,2.7196878526757207,4.218951841736693,0.1875,326.9089790547892
108,[Li]n1c(=S)n([Li])c2c(Cl)cccc21,2.73632382670258,2.5790722715963,4.460554441621824,0.0625,272.8064804119293
109,[Li]n1c(=O)n([Li])c2c3ccccc3ccc21,2.2400848928236767,1.9750811761760874,3.972995404467676,0.09090909090909091,273.43679161452945
112,[Li]n1c(=O)n([Li])c2cc(O)ccc21,2.62645042223515,2.6330213789712946,4.078030370783463,0.11764705882352941,330.9266563650741
120,[Li]n1c(=S)n([Li])c2cc(F)ccc21,2.765055658517123,2.64134804559799,4.371525269988647,0.1875,297.73695233370233
121,[Li]n1c(=S)n([Li])c2c(F)cccc21,2.8040879475922753,2.4265296207988696,4.44531328962848,0.1875,297.73695233370233
135,[Li]n1c(=S)n([Li])c2c(OC)cccc21,2.7460814778391676,2.348981151785643,4.344218546146447,0.1,279.0820888875006
139,[Li]n1c(=O)c(=O)n([Li])c2cc(O)ccc21,2.58681253868178,2.4778272614939016,4.378947202154865,0.10526315789473684,282.14443807061144
141,[Li]N1CN([Li])c2c1ccc1ccccc21,2.073129826413876,1.5074869806153082,2.1333752974547138,0.08695652173913043,294.4355045892273
142,[Li]n1c(=S)n([Li])c2c(O)cccc21,2.761860478082295,2.3572353052406183,4.351010532466049,0.11764705882352941,301.0659293827243
150,[Li]n1ccc2ccc3ccn([Li])c3c21,2.688389753845081,2.409061803370913,3.7905247191275815,0.1,319.01121729391207
151,[2H]c1c([2H])c([2H])c2c(c1[2H])n([Li])c(=S)n2[Li],2.751658992981117,2.744813924532966,4.376507692645433,0.125,322.77104630541925
168,[Li]n1c(=O)c(=O)n([Li])c2cc(CC)ccc21,2.383651424629101,2.620170291573747,4.450249452763485,0.08333333333333333,265.31222712706165
174,[Li]n1c(=O)n([Li])c2c(O)c(O)ccc21,1.9697636233793374,2.3045366478876455,4.115062478881859,0.1111111111111111,301.18263340361966
184,[Li]n1c(=S)n([Li])c2cc(OC)c(F)cc21,2.7565047997632557,2.2261047627551025,4.219081096282933,0.15000000000000002,255.18407101362814
187,[Li]n1c(=S)n([Li])c2c(F)cc(F)cc21,2.541619421189524,2.432754445865757,4.441777157328852,0.25,270.6920965762078
188,[Li]n1c(=S)n([Li])c2cc(F)c(C)cc21,2.735036466669313,2.2660593339171404,4.317894156863707,0.15789473684210525,276.2192144382788
192,[Li]n1c(=O)n([Li])c2cc(F)c(F)cc21,2.9340073352465836,2.597418722788639,4.214460586361186,0.25,294.5924428032745
193,[Li]n1c(=S)n([Li])c2cc(O)ccc21,2.7678815270441426,2.531414823898057,4.251458680104332,0.11764705882352941,301.0659293827243
197,[Li]n1c(=O)n([Li])c2c(CC(F)F)cccc21,2.0673124821090507,1.8580880664183015,4.224664892727489,0.18181818181818182,255.24481813343826
198,[Li]n1c(=O)n([Li])c2cc(CC(F)F)ccc21,1.9876024746369936,2.072299098454338,4.205569234076922,0.18181818181818182,255.24481813343826
201,[Li]n1c(=O)n([Li])c2cc(CCF)ccc21,1.9053042198797492,2.0002953410127153,4.190457336631361,0.13636363636363635,279.1547483499495
204,[Li]n1c(=O)n([Li])c2c(F)cc(F)cc21,2.4638354438650474,2.389141325552571,4.196582641601667,0.25,294.5924428032745
205,[Li]n1c(=O)n([Li])c2c(CF)cccc21,2.1665877674156517,1.792686147871187,4.264539240295729,0.15789473684210525,301.15048848793737
206,[Li]n1c(=O)n([Li])c2c(F)cccc21,2.5318152624938,2.3857060432661625,4.182912952790572,0.1875,326.9089790547892
207,[Li]n1c(=S)n([Li])c2cc(OCF)ccc21,1.9963284399627246,1.9269847295998095,4.293576614500527,0.15000000000000002,255.18407101362814
210,[Li]n1c(=S)n([Li])c2c(F)c(F)ccc21,2.5984121084142586,2.498103823865513,4.4590074687757255,0.25,270.6920965762078
215,[Li]n1c(=O)c(=O)n([Li])c2cc(F)c(C)cc21,2.842496442924854,2.3050877891288044,4.449484810072676,0.14285714285714285,260.2089545316535
217,[Li]n1c(=O)n([Li])c2c(F)c(COC)ccc21,1.8694615618513644,1.803330742868436,4.1660404723544975,0.13043478260869565,257.68749903200285
226,[Li]n1c(=O)n([Li])c2c(C)c(F)ccc21,2.2415930800000217,1.957595252089269,4.186664055811422,0.15789473684210525,301.1504884879374
233,[Li]n1c(=O)n([Li])c2cc(CF)ccc21,2.1188023000536234,2.11954090422277,4.217916444783784,0.15789473684210525,301.1504884879374
238,[Li]n1c(=O)n([Li])c2c(F)c(OC)c(C)cc21,1.9550311372448452,1.8366294937574645,4.007260104676853,0.13043478260869565,257.68749903200285
244,[Li]n1c(=O)n([Li])c2c(F)c(F)ccc21,2.54929273089412,2.396916220137713,4.205570594650634,0.25,294.5924428032745
250,[Li]n1c(=O)n([Li])c2cc(C(C)C)c(F)cc21,2.342678072322344,2.058709710418868,4.152632013783313,0.12,260.15339614757295
251,[Li]n1c(=O)n([Li])c2cc(C(=C)C)c(F)cc21,2.5208556783536595,2.1049085009225257,4.208090378037099,0.13043478260869565,262.7235804895207
256,[Li]n1c(=O)n([Li])c2cc(F)c(C)cc21,2.687510291225812,2.294012439556031,4.146814198580881,0.15789473684210525,301.15048848793737
257,[Li]n1c2cc(F)c(C)c(F)c2n1[Li],2.4002632527130086,1.9310526514233168,2.898879231485299,0.23529411764705882,319.1118571384164
260,[Li]n1c(=O)n([Li])c2cc(C(=O)O)c(F)cc21,2.828025243089146,2.3882829500658502,4.399120435558979,0.15789473684210525,257.7420090629035
274,[Li]n1c(=O)n([Li])c2c(F)cc(C(C)C)cc21,2.1876788857874985,1.7989193226717473,4.121884397834018,0.12,260.15339614757295
276,[Li]n1c(=O)n([Li])c2c(F)cc(S)cc21,2.131388435497124,2.163873399529919,4.150114951547373,0.1764705882352941,273.4409755693947
279,[Li]n1c(=S)n([Li])c2c(F)ccc(C)c21,2.8176440776029716,2.7252643428328955,4.30754699020628,0.15789473684210525,276.2192144382788
280,[Li]n1c(=O)n([Li])c2c(F)cc(CC)cc21,1.8983603365197186,2.128310457922047,4.120119733119266,0.13636363636363635,279.15474834994944
283,[Li]n1c(=O)n([Li])c2c(F)cc(C)cc21,2.300943481686697,2.2006812247457015,4.121980998600272,0.15789473684210525,301.15048848793737
284,[Li]n1c(=O)n([Li])c2c(C)cc(F)cc21,2.05814320511504,2.1915719192390704,4.165806453595078,0.15789473684210525,301.1504884879374
285,[Li]n1c(=O)n([Li])c2c(F)cc(SC)cc21,2.2192587139016346,2.1499164013876295,4.122360598796698,0.15000000000000002,255.18407101362808
290,[Li]n1c(=S)n([Li])c2c(OCF)cccc21,2.1032448928951384,2.240757357008378,4.359705962065743,0.15000000000000002,255.18407101362814
334,[Li]n1c(=O)n([Li])c2cc3c(cc21)OCCO3,2.601119500711034,2.466421971606593,4.0100179885469736,0.09090909090909091,262.7480450456337
335,[Li]n1c(=S)n([Li])c2c(C)c(C)ccc21,2.6329319168689738,2.09840842535935,4.301246171166408,0.09090909090909091,281.976747583766
337,[Li]n1c(S(=O)(=O)[O-])[n+]([Li])c2ccccc21,3.5648815866376786,2.5776159805704375,5.882800730684057,0.10526315789473684,255.2071515126511
342,[Li]n1c(=O)n([Li])c2cc(C(C)=O)c(C)cc21,2.536622691455689,2.3696797452336287,4.270347531480608,0.08333333333333333,265.31222712706165
