Reactant,R_SinglePointEnergy,R_Solv,R_ThermalCorrectionGibbs,R_GibbsFreeEnergy,Product,P_SinglePointEnergy,P_solv,P_ThermalCorrectionGibbs,P_GibbsFreeEnergy,AnodeLimit(V)
cluster7_mol0_,-1041.2158472,-0.05114519999983713,0.058876,-1041.2081163999999,cluster7_mol0_minus2Li,-1025.9414715,-0.020566899999948873,0.055887,0.055887,4.531021299681706
cluster4_mol1_,-1227.5865024,-0.04302789999997003,0.064318,-1227.5652123,cluster4_mol1_minus2Li,-1212.3757707,-0.009254000000055385,0.066153,0.066153,3.7742100741033826
cluster7_mol2_,-945.1296818,-0.038105100000052516,0.111948,-945.0558389,cluster7_mol2_minus2Li,-929.86138,-0.022681699999907323,0.112814,0.112814,4.294637862361755
cluster7_mol3_,-979.8523032,-0.04423559999997906,0.069112,-979.8274268,cluster7_mol3_minus2Li,-964.5744607,-0.02178870000000188,0.068795,0.068795,4.503910498522529
cluster7_mol4_,-611.5444548,-0.0600193999999874,0.137362,-611.4671122,cluster7_mol4_minus2Li,-596.3528857,-0.011023099999988517,0.138603,0.138603,3.712518919520227
cluster7_mol6_,-696.1558589,-0.05402010000000246,0.098,-696.111879,cluster7_mol6_minus2Li,-680.8858392,-0.02884360000007291,0.096856,0.096856,4.4233617857693694
cluster7_mol8_,-660.2997839,-0.05145349999997961,0.119995,-660.2312423999999,cluster7_mol8_minus2Li,-645.0349393,-0.02333109999995031,0.118325,0.118325,4.385875245892375
cluster7_mol10_,-1250.9226902,-0.03619299999991199,0.047857,-1250.9110262,cluster7_mol10_minus2Li,-1235.6503697,-0.015136799999936557,0.048171,0.048171,4.418443310097299
cluster7_mol11_,-622.0290956,-0.045006499999999505,0.104325,-621.9697771,cluster7_mol11_minus2Li,-606.7551825,-0.019988499999954,0.1033,0.1033,4.475796954188887
cluster7_mol14_,-905.8618404,-0.038140799999951014,0.087158,-905.8128231999999,cluster7_mol14_minus2Li,-890.5932718,-0.022743499999933192,0.087524,0.087524,4.291109893505965
cluster7_mol15_,-680.8992484,-0.050858599999969556,0.061124,-680.888983,cluster7_mol15_minus2Li,-665.6269053,-0.02105790000007346,0.061199,0.061199,4.534474436958419
cluster4_mol16_,-870.0058437,-0.034948799999938274,0.10787,-869.9329224999999,cluster4_mol16_minus2Li,-854.7416533,-0.017682799999988674,0.108927,0.108927,4.266367851995197
cluster7_mol17_,-656.936596,-0.051270000000045,0.073114,-656.914752,cluster7_mol17_minus2Li,-641.6724704,-0.02406949999999597,0.072119,0.072119,4.372733459865239
cluster4_mol22_,-621.0329123,-0.05151539999997112,0.094034,-620.9903937,cluster4_mol22_minus2Li,-605.7655206,-0.022515100000077837,0.092926,0.092926,4.440121338549972
cluster4_mol24_,-928.0068392,-0.04277840000008837,0.052075,-927.9975426000001,cluster4_mol24_minus2Li,-912.7488146,-0.01748110000005454,0.051356,0.051356,4.2675855658924355
cluster4_mol25_,-830.7394086,-0.03542799999991075,0.0826,-830.6922366,cluster4_mol25_minus2Li,-815.47307,-0.016916100000003098,0.083939,0.083939,4.3163839195202875
cluster4_mol26_,-830.7415915,-0.035283899999967616,0.083664,-830.6932114,cluster4_mol26_minus2Li,-815.4750568,-0.014559000000076594,0.084172,0.084172,4.337855140694028
cluster4_mol27_,-582.9450586,-0.04510619999996379,0.090891,-582.8992738,cluster4_mol27_minus2Li,-567.6927844,-0.025207499999964966,0.090488,0.090488,4.120194564698343
cluster4_mol30_,-581.7669985,-0.05184569999994437,0.07049,-581.7483542,cluster4_mol30_minus2Li,-566.4952893,-0.021768700000052377,0.069007,0.069007,4.5084112779186825
cluster4_mol31_,-791.4738714,-0.0361920000000282,0.059705,-791.4503584,cluster4_mol31_minus2Li,-776.2035148,-0.01617959999998675,0.059515,0.059515,4.3706640265331345
cluster4_mol33_,-507.8223887,-0.04221530000000939,0.087619,-507.77698499999997,cluster4_mol33_minus2Li,-492.5723106,-0.019454499999994823,0.087275,0.087275,4.130058727522197
cluster7_mol36_,-780.0241881,-0.049782100000015816,0.051639,-780.0223311999999,cluster7_mol36_minus2Li,-764.7524276,-0.01972289999991972,0.050047,0.050047,4.50738404440961
cluster7_mol40_,-621.0328045,-0.04870230000005904,0.094504,-620.9870028,cluster7_mol40_minus2Li,-605.7684753,-0.022507000000018706,0.093254,0.093254,4.358357633051645
cluster4_mol41_,-547.0887061,-0.04161620000002131,0.112649,-547.0176733,cluster4_mol41_minus2Li,-531.8410508,-0.020341500000085944,0.112402,0.112402,4.0781950002571214
cluster7_mol47_,-696.1856116,-0.04757059999997182,0.09779,-696.1353922,cluster7_mol47_minus2Li,-680.923197,-0.019352200000071207,0.096638,0.096638,4.36116721873686
cluster7_mol49_,-989.7310411,-0.03480920000004062,0.040396,-989.7254543,cluster7_mol49_minus2Li,-974.462231,-0.014044000000012602,0.041002,0.041002,4.37069531973941
cluster7_mol57_,-732.0473762,-0.06295069999998759,0.074533,-732.0357939,cluster7_mol57_minus2Li,-716.7904516,-0.03790400000002592,0.075943,0.075943,4.2781762753283825
cluster4_mol60_,-904.6792271,-0.04644679999989876,0.067675,-904.6579988999999,cluster4_mol60_minus2Li,-889.4013812,-0.01878270000008797,0.067793,0.067793,4.5808591319882535
cluster4_mol62_,-543.6982054,-0.0482124999999769,0.065382,-543.6810359,cluster4_mol62_minus2Li,-528.450145,-0.01906050000002324,0.065475,0.065475,4.195509148570814
cluster7_mol68_,-696.1582883,-0.04804320000005191,0.098804,-696.1075275000001,cluster7_mol68_minus2Li,-680.9309199,-0.029222499999946194,0.097887,0.097887,3.759672338965108
cluster7_mol69_,-696.1307409,-0.06858139999997093,0.096587,-696.1027353,cluster7_mol69_minus2Li,-680.9392924,-0.028308599999945727,0.097123,0.097123,3.582596330258213
cluster7_mol70_,-696.1303826,-0.06317490000003545,0.09639,-696.0971675,cluster7_mol70_minus2Li,-680.9415494,-0.028523700000050667,0.097102,0.097102,3.4729218059778426
cluster7_mol71_,-696.1902607,-0.05387660000008054,0.096529,-696.1476083,cluster7_mol71_minus2Li,-680.9379846,-0.02929380000000492,0.097348,0.097348,4.200577287401035
cluster7_mol75_,-660.2870774,-0.07423749999998108,0.121253,-660.2400619,cluster7_mol75_minus2Li,-645.0624948,-0.026143600000068545,0.124412,0.124412,4.175510068662552
cluster7_mol77_,-1027.1352654,-0.04191949999994904,0.042597,-1027.1345879,cluster7_mol77_minus2Li,-1011.8772038,-0.01616039999998975,0.0419,0.0419,4.274671436236575
cluster4_mol88_,-928.0078329,-0.04213310000000092,0.051459,-927.998507,cluster4_mol88_minus2Li,-912.7458863,-0.017611199999919336,0.051344,0.051344,4.318615261180167
cluster4_mol91_,-618.8357537,-0.05294529999991937,0.066356,-618.8223429999999,cluster4_mol91_minus2Li,-603.5985855,-0.03412639999999101,0.068217,0.068217,3.930778148156254
cluster4_mol97_,-547.0900275,-0.040927099999976235,0.11241,-547.0185446,cluster4_mol97_minus2Li,-531.8408134,-0.01744799999994484,0.110099,0.110099,4.1013138767689945
cluster4_mol98_,-581.7606885,-0.04827079999995476,0.069214,-581.7397453,cluster4_mol98_minus2Li,-566.4981408,-0.020656000000030872,0.068772,0.068772,4.364425793904264
cluster4_mol99_,-581.7837265,-0.03780560000006972,0.07147,-581.7500621,cluster4_mol99_minus2Li,-566.4916094,-0.02585409999994681,0.068817,0.068817,4.523546305125132
cluster4_mol101_,-567.6899108,-0.04219030000001567,0.05391,-567.6781911,cluster4_mol101_minus2Li,-552.4347102,-0.01798550000000887,0.053533,0.053533,4.218951841736693
cluster4_mol108_,-1250.9247596,-0.03490549999992254,0.047868,-1250.9117970999998,cluster4_mol108_minus2Li,-1235.6475686,-0.015342699999791876,0.0479,0.0479,4.460554441621824
cluster7_mol109_,-622.0311641,-0.04361030000006849,0.104619,-621.9701554000001,cluster7_mol109_minus2Li,-606.7946258,-0.01958060000004025,0.105002,0.105002,3.972995404467676
cluster4_mol112_,-543.6958273,-0.04967090000002372,0.065613,-543.6798852000001,cluster4_mol112_minus2Li,-528.4460557,-0.03055359999996199,0.065395,0.065395,4.078030370783463
